N             Value of pi             Standard deviation 
3000        3.143479163847051         0.6491458743268814 
3010        3.128565078491698         0.6515411226439862 
3020        3.1434251239399282        0.6396530171830443 
3030        3.154545092697614         0.6334666961670178 
3040        3.150085249320021         0.6360969891678051 
3050        3.135426557873688         0.6464362055842626 
3060        3.1554476309209654        0.649869259305641 
3070        3.137594695972448         0.6417125346413439 
3080        3.128133342837751         0.6446775312015812 
3090        3.1643554423064293        0.635229245039523 
3100        3.1280569378409475        0.6391391657694122 
3110        3.137902174599222         0.6370061612130068 
3120        3.1446248895187088        0.6404700407723162 
3130        3.1307653569866147        0.641732567784107 
3140        3.145946961731198         0.64515838912312 
3150        3.145376317664418         0.6407179018261482 
3160        3.141863889894781         0.6401833567547257 
3170        3.154757773666487         0.6482073658870945 
3180        3.1215118139743345        0.6507662147532821 
3190        3.151556820663777         0.6423153459394968 
3200        3.1414915309166456        0.6429677609065368 
3210        3.1401395978103515        0.6418271012793215 
3220        3.1411462296247574        0.643115523417872 
3230        3.1564721068383217        0.6378177801796788 
3240        3.154301462081002         0.6388193996865338 
3250        3.146690498275491         0.6478434623991352 
3260        3.1463906018643075        0.6404078424761853 
3270        3.1219999714114666        0.6467654469688451 
3280        3.132534830877499         0.6547615530381973 
3290        3.1482283530433017        0.6410077210533156 
3300        3.128077253032803         0.6399050803652694 
3310        3.1504437735306112        0.6409208029938792 
3320        3.1473242480081267        0.6498371585715511 
3330        3.1501524361118145        0.6411308957371402 
3340        3.138799821946028         0.644881559327545 
3350        3.147333978538111         0.6364960726454406 
3360        3.1458540300553977        0.6504548578120035 
3370        3.125017279475388         0.6467237155790807 
3380        3.129050141761671         0.6462266972337113 
3390        3.1570548349780276        0.6409684026464277 
3400        3.152033705487071         0.6427352508460401 
3410        3.1278397509350233        0.6523517810837363 
3420        3.151078314706353         0.6414125551260181 
3430        3.157032310746637         0.6380106827397518 
3440        3.134456458101317         0.6477239860140306 
3450        3.1368352091065344        0.6407352108126133 
3460        3.1167559548479655        0.6482442063849713 
3470        3.148448597698202         0.6390305988002566 
3480        3.1236525910672723        0.6377652823575443 
3490        3.147920556615233         0.6444163136371699 
3500        3.1351731843224133        0.6431092484479802 
3510        3.1596445688846004        0.6457044803539285 
3520        3.14386782957372          0.6473057228308817 
3530        3.135462940263729         0.6444071796158551 
3540        3.135055929205899         0.6400976150358046 
3550        3.147472838276538         0.6354016585121349 
3560        3.1518837520703604        0.6423144639443022 
3570        3.1410247794371107        0.6473666251591594 
3580        3.1401682139808917        0.643696572167454 
3590        3.150794326308006         0.6375679176940876 
3600        3.1510198858458573        0.6427490229553317 
3610        3.1278639800846255        0.647370992861524 
3620        3.1460399113169744        0.6484595437684346 
3630        3.1456151511981165        0.6408494553005358 
3640        3.152264116265188         0.6353282414891368 
3650        3.139082961836186         0.6445163090558607 
3660        3.136128113648977         0.648115192504508 
3670        3.1579397739081676        0.6429380985889707 
3680        3.1517124245211665        0.6452824380695705 
3690        3.13934601384734          0.6447773298504448 
3700        3.1430713667467782        0.6447700711785657 
3710        3.149732723287568         0.6388813150752453 
3720        3.15229680915856          0.6426247525572568 
3730        3.1324362947776145        0.6356241555148308 
3740        3.1317905069610945        0.6411520662532256 
3750        3.1379076922935445        0.6452191645121986 
3760        3.1431935532963338        0.6446286641295106 
3770        3.139884896218928         0.6489691349999455 
3780        3.1500956058324694        0.6388503217518982 
3790        3.151220900550519         0.6427516554111666 
3800        3.1304626066648167        0.6445676989663376 
3810        3.1439489576799082        0.6391003934760611 
3820        3.1411392434506977        0.6387188290247573 
3830        3.1449699226051595        0.6376473000767674 
3840        3.1565932097161267        0.6493729741413058 
3850        3.1575216285368555        0.6335648808940807 
3860        3.1477465368979396        0.6423415854295574 
3870        3.1422872644182607        0.6387484881255807 
3880        3.1317509667521137        0.6463255655002959 
3890        3.1400778458099747        0.6405512694794786 
3900        3.138025796448727         0.6414980099945695 
3910        3.1572676737936987        0.6329311506993526 
3920        3.145131254596536         0.6453818392978771 
3930        3.1344139907819524        0.6437220440686933 
3940        3.1453125032276463        0.6461395287576537 
3950        3.1619020779149176        0.6359298061815968 
3960        3.1396217022431405        0.6380749813163707 
3970        3.14467166999855          0.6342470653880343 
3980        3.1363298969926094        0.6442039133433809 
3990        3.1522931886795913        0.6395515542805705 
4000        3.124705215596258         0.6479753377201322 
